date,ihsg_level
2016-01-31,4615.16
2016-02-29,4770.96
2016-03-31,4845.37
2016-04-30,4838.58
2016-05-31,4796.87
2016-06-30,5016.65
2016-07-31,5215.99
2016-08-31,5386.08
2016-09-30,5364.8
2016-10-31,5422.54
2016-11-30,5148.91
2016-12-31,5296.71
2017-01-31,5294.1
2017-02-28,5386.69
2017-03-31,5568.11
2017-04-30,5685.3
2017-05-31,5738.15
2017-06-30,5829.71
2017-07-31,5840.94
2017-08-31,5864.06
2017-09-30,5900.85
2017-10-31,6005.78
2017-11-30,5952.14
2017-12-31,6355.65
2018-01-31,6605.63
2018-02-28,6597.22
2018-03-31,6188.99
2018-04-30,5994.6
2018-05-31,5983.59
2018-06-30,5799.24
2018-07-31,5936.44
2018-08-31,6018.46
2018-09-30,5976.55
2018-10-31,5831.65
2018-11-30,6056.12
2018-12-31,6194.5
2019-01-31,6532.97
2019-02-28,6443.35
2019-03-31,6468.76
2019-04-30,6455.35
2019-05-31,6209.12
2019-06-30,6358.63
2019-07-31,6390.51
2019-08-31,6328.47
2019-09-30,6169.1
2019-10-31,6228.32
2019-11-30,6011.83
2019-12-31,6299.54
2020-01-31,5940.05
2020-02-29,5452.7
2020-03-31,4538.93
2020-04-30,4716.4
2020-05-31,4753.61
2020-06-30,4905.39
2020-07-31,5149.63
2020-08-31,5238.49
2020-09-30,4870.04
2020-10-31,5128.23
2020-11-30,5612.41
2020-12-31,5979.07
2021-01-31,5862.35
2021-02-28,6241.8
2021-03-31,5985.52
2021-04-30,5995.62
2021-05-31,5947.46
2021-06-30,5985.49
2021-07-31,6070.04
2021-08-31,6150.3
2021-09-30,6286.94
2021-10-31,6591.35
2021-11-30,6533.93
2021-12-31,6581.48
2022-01-31,6631.15
2022-02-28,6888.17
2022-03-31,7071.44
2022-04-30,7228.91
2022-05-31,7148.97
2022-06-30,6911.58
2022-07-31,6951.12
2022-08-31,7178.59
2022-09-30,7040.8
2022-10-31,7098.89
2022-11-30,7081.31
2022-12-31,6850.62
2023-01-31,6839.34
2023-02-28,6843.24
2023-03-31,6805.28
2023-04-30,6915.72
2023-05-31,6633.26
2023-06-30,6661.88
2023-07-31,6931.36
2023-08-31,6953.26
2023-09-30,6939.89
2023-10-31,6752.21
2023-11-30,7080.74
2023-12-31,7272.8
2024-01-31,7207.94
2024-02-29,7316.11
2024-03-31,7288.81
2024-04-30,7234.2
2024-05-31,6970.74
2024-06-30,7063.58
2024-07-31,7255.76
2024-08-31,7670.73
2024-09-30,7527.93
2024-10-31,7574.02
2024-11-30,7114.27
2024-12-31,7079.9
2025-01-31,7109.2
2025-02-28,6270.6
2025-03-31,6510.62
2025-04-30,6766.79
2025-05-31,7175.82
2025-06-30,6927.68
2025-07-31,7484.34
2025-08-31,7830.49
2025-09-30,8061.06
2025-10-31,8163.88
2025-11-30,8508.71
2025-12-31,8644.26
