date,ihsg_monthly_return_pct
2016-02-29,3.3758309571065848
2016-03-31,1.5596441806261074
2016-04-30,-0.1401337771934852
2016-05-31,-0.8620297690644763
2016-06-30,4.581737674775432
2016-07-31,3.973568018498397
2016-08-31,3.2609341659013857
2016-09-30,-0.3950925348305212
2016-10-31,1.0762749776319636
2016-11-30,-5.046159180015275
2016-12-31,2.870510457553155
2017-01-31,-0.04927587124837762
2017-02-28,1.7489280519823902
2017-03-31,3.3679309557446135
2017-04-30,2.1046638805627182
2017-05-31,0.9295903470353251
2017-06-30,1.5956362242186106
2017-07-31,0.19263393890947
2017-08-31,0.3958266991272108
2017-09-30,0.6273810295256199
2017-10-31,1.778218392265507
2017-11-30,-0.893139608843474
2017-12-31,6.7792424237333115
2018-01-31,3.9331933004492114
2018-02-28,-0.12731563832669712
2018-03-31,-6.187909452769502
2018-04-30,-3.140900211504616
2018-05-31,-0.18366529876889803
2018-06-30,-3.0809263335221937
2018-07-31,2.3658272463288332
2018-08-31,1.381636132092634
2018-09-30,-0.696357539968695
2018-10-31,-2.4244756590340644
2018-11-30,3.84916790273766
2018-12-31,2.284961328375257
2019-01-31,5.464040681249505
2019-02-28,-1.3718109833659065
2019-03-31,0.3943600766681987
2019-04-30,-0.2073040273560922
2019-05-31,-3.8143555345566127
2019-06-30,2.407909655474527
2019-07-31,0.5013658602560644
2019-08-31,-0.9708145359290543
2019-09-30,-2.5183022120670584
2019-10-31,0.9599455350050912
2019-11-30,-3.475897192180233
2019-12-31,4.785730800771137
2020-01-31,-5.706607149093424
2020-02-29,-8.204476393296357
2020-03-31,-16.75811983054266
2020-04-30,3.9099523455968566
2020-05-31,0.7889491985412667
2020-06-30,3.192941785295811
2020-07-31,4.979012881748446
2020-08-31,1.7255608655379007
2020-09-30,-7.033515383249755
2020-10-31,5.301599165509918
2020-11-30,9.441464208898598
2020-12-31,6.533022355815055
2021-01-31,-1.9521430590376032
2021-02-28,6.472660281286502
2021-03-31,-4.1058668973693475
2021-04-30,0.16874056055278253
2021-05-31,-0.8032530413868755
2021-06-30,0.639432631745307
2021-07-31,1.4125827626476628
2021-08-31,1.3222318139583855
2021-09-30,2.221680243240165
2021-10-31,4.8419421849103195
2021-11-30,-0.871141723622626
2021-12-31,0.7277396605105846
2022-01-31,0.7546934732005628
2022-02-28,3.8759491189311213
2022-03-31,2.660648619299466
2022-04-30,2.226844885907253
2022-05-31,-1.1058375329060621
2022-06-30,-3.32061821493167
2022-07-31,0.5720833731216235
2022-08-31,3.272422285905008
2022-09-30,-1.919457720805895
2022-10-31,0.8250482899670564
2022-11-30,-0.24764435003218344
2022-12-31,-3.257730561153238
2023-01-31,-0.16465662961892003
2023-02-28,0.05702304608339315
2023-03-31,-0.5547080038110663
2023-04-30,1.6228575459055428
2023-05-31,-4.084318046421775
2023-06-30,0.43146205636444
2023-07-31,4.045104384948384
2023-08-31,0.31595531035757407
2023-09-30,-0.19228390711695242
2023-10-31,-2.7043656311555364
2023-11-30,4.865518104442845
2023-12-31,2.7124283620073575
2024-01-31,-0.8918160818391918
2024-02-29,1.5007061657005938
2024-03-31,-0.37314911886233704
2024-04-30,-0.749230670027079
2024-05-31,-3.6418677946421174
2024-06-30,1.3318528592373369
2024-07-31,2.7207166904034574
2024-08-31,5.719180347751296
2024-09-30,-1.8616220359730984
2024-10-31,0.6122533020365584
2024-11-30,-6.070092236355329
2024-12-31,-0.48311351691742166
2025-01-31,0.4138476532154378
2025-02-28,-11.795982670342642
2025-03-31,3.82770388798519
2025-04-30,3.934648313063893
2025-05-31,6.0446681513686595
2025-06-30,-3.4580020123135657
2025-07-31,8.03530186151784
2025-08-31,4.624990313107102
2025-09-30,2.944515605025999
2025-10-31,1.2755146345517776
2025-11-30,4.223849444136851
2025-12-31,1.5930734506170774
